Date,Amount
"2017-05-19 00:00:00",31903.00
"2017-06-13 00:00:00",62856.00
"2017-06-19 00:00:00",31903.00
"2017-06-24 00:00:00",63568.00
"2017-06-28 00:00:00",7542.00
"2017-07-05 00:00:00",47854.00
"2017-07-13 00:00:00",62856.00
"2017-07-13 00:00:00",56565.00
"2017-07-18 00:00:00",31903.00
"2017-07-24 00:00:00",63568.00
"2017-07-28 00:00:00",7542.00
"2017-07-29 00:00:00",64844.00
"2017-07-31 00:00:00",6500.00
"2017-08-05 00:00:00",47854.00
"2017-08-05 00:00:00",25570.00
"2017-08-10 00:00:00",15275.00
"2017-08-10 00:00:00",6896.00
"2017-08-11 00:00:00",62856.00
"2017-08-11 00:00:00",64763.00
"2017-08-16 00:00:00",56565.00
"2017-08-18 00:00:00",31903.00
"2017-08-19 00:00:00",27934.00
"2017-08-22 00:00:00",505829.00
"2017-08-24 00:00:00",63568.00
"2017-08-28 00:00:00",0.00
"2017-08-28 00:00:00",22769.00
"2017-08-28 00:00:00",26732.00
"2017-08-29 00:00:00",64844.00
"2017-09-01 00:00:00",50478.00
"2017-09-01 00:00:00",7542.00
"2017-09-01 00:00:00",6500.00
"2017-09-05 00:00:00",46557.00
"2017-09-06 00:00:00",47854.00
"2017-09-06 00:00:00",25570.00
"2017-09-07 00:00:00",32622.00
"2017-09-11 00:00:00",62856.00
"2017-09-11 00:00:00",15275.00
"2017-09-11 00:00:00",64763.00
"2017-09-12 00:00:00",33180.00
"2017-09-14 00:00:00",56565.00
"2017-09-14 00:00:00",6896.00
"2017-09-18 00:00:00",31903.00
"2017-09-19 00:00:00",27934.00
"2017-09-21 00:00:00",50542.00
"2017-09-25 00:00:00",63568.00
"2017-09-25 00:00:00",22769.00
"2017-09-25 00:00:00",46557.00
"2017-09-26 00:00:00",7542.00
"2017-09-28 00:00:00",26732.00
"2017-09-28 00:00:00",29578.00
"2017-09-28 00:00:00",14789.00
"2017-09-29 00:00:00",64844.00
"2017-10-03 00:00:00",6500.00
"2017-10-03 00:00:00",19719.00
"2017-10-05 00:00:00",47854.00
"2017-10-05 00:00:00",25570.00
"2017-10-05 00:00:00",52351.00
"2017-10-07 00:00:00",15275.00
"2017-10-07 00:00:00",32622.00
"2017-10-08 00:00:00",48934.00
"2017-10-09 00:00:00",11575.00
"2017-10-10 00:00:00",6896.00
"2017-10-11 00:00:00",62856.00
"2017-10-11 00:00:00",64763.00
"2017-10-12 00:00:00",32758.00
"2017-10-13 00:00:00",56565.00
"2017-10-16 00:00:00",19719.00
"2017-10-16 00:00:00",32622.00
"2017-10-18 00:00:00",31903.00
"2017-10-18 00:00:00",27934.00
"2017-10-21 00:00:00",50607.00
"2017-10-23 00:00:00",19719.00
"2017-10-24 00:00:00",63568.00
"2017-10-25 00:00:00",22769.00
"2017-10-25 00:00:00",46557.00
"2017-10-25 00:00:00",14789.00
"2017-10-26 00:00:00",0.00
"2017-10-30 00:00:00",0.00
"2017-10-30 00:00:00",64844.00
"2017-10-30 00:00:00",0.00
"2017-10-30 00:00:00",26732.00
"2017-10-30 00:00:00",29578.00
"2017-10-30 00:00:00",13146.00
"2017-10-31 00:00:00",52196.00
"2017-11-04 00:00:00",13146.00
"2017-11-06 00:00:00",47854.00
"2017-11-06 00:00:00",0.00
"2017-11-06 00:00:00",52351.00
"2017-11-06 00:00:00",19719.00
"2017-11-06 00:00:00",143457.00
"2017-11-07 00:00:00",15275.00
"2017-11-07 00:00:00",0.00
"2017-11-07 00:00:00",123801.00
"2017-11-08 00:00:00",25570.00
"2017-11-08 00:00:00",48934.00
"2017-11-08 00:00:00",9577.00
"2017-11-08 00:00:00",11575.00
"2017-11-09 00:00:00",32622.00
"2017-11-10 00:00:00",0.00
"2017-11-13 00:00:00",0.00
"2017-11-13 00:00:00",32758.00
"2017-11-13 00:00:00",32864.00
"2017-11-13 00:00:00",62856.00
"2017-11-13 00:00:00",0.00
"2017-11-14 00:00:00",32622.00
"2017-11-15 00:00:00",0.00
"2017-11-15 00:00:00",19719.00
"2017-11-15 00:00:00",6896.00
"2017-11-16 00:00:00",0.00
